Hero,win,kills,deaths,assists,damage,heal,lasthit,denies,level,tower,version
Magnus,0,3,12,15,12095,0,63,4,18,23,7
Monkey King,0,5,7,10,18883,0,127,1,23,25,7
Anti-Mage,0,9,5,6,12648,0,189,7,23,0,7
Dragon Knight,0,3,10,11,11354,0,101,0,20,0,7
Queen of Pain,0,6,12,11,17605,0,82,5,18,57,7
Alchemist,1,12,4,10,26148,0,223,0,24,4195,7
Legion Commander,1,4,6,14,17814,0,160,1,23,997,7
Invoker,1,10,6,10,20096,0,174,15,24,4711,7
Night Stalker,1,11,7,9,18064,0,131,1,22,3295,7
Clinkz,1,7,5,11,9620,0,86,4,22,6114,7
Silencer,0,4,4,5,13932,0,66,1,15,32,7
Rubick,0,0,6,8,8103,0,28,2,12,0,7
Slardar,0,2,3,6,5875,0,38,2,14,32,7
Juggernaut,0,5,7,3,11372,0,145,9,16,865,7
Storm Spirit,0,2,6,9,18435,1440,148,9,16,0,7
Shadow Fiend,1,9,3,17,25542,0,243,17,20,9434,7
Warlock,1,6,3,15,9621,9909,22,4,14,2157,7
Weaver,1,7,0,12,15575,0,128,3,20,5616,7
Omniknight,1,0,4,16,2695,7314,21,3,15,8,7
Drow Ranger,1,4,3,9,6057,0,152,18,20,5934,7
Troll Warlord,0,16,8,6,34792,0,186,2,25,2191,7
Timbersaw,0,0,9,4,6065,0,41,0,11,28,7
Rubick,0,2,8,0,3323,0,27,2,8,182,7
Monkey King,0,1,12,8,9134,0,27,0,14,648,7
Axe,0,7,12,5,16510,0,91,0,20,28,7
Phantom Assassin,1,3,6,12,6003,0,86,1,17,582,7
Sven,1,10,8,13,14194,0,87,1,20,1603,7
Spirit Breaker,1,16,5,22,21569,921,76,7,24,763,7
Lifestealer,1,2,3,7,3112,325,49,0,15,1264,7
Luna,1,14,4,17,33912,0,222,0,25,6719,7
Venomancer,0,2,11,5,17400,0,26,1,12,76,7
Lifestealer,0,2,8,2,7840,620,110,4,13,164,7
Luna,0,1,5,0,3522,0,98,2,15,123,7
Anti-Mage,0,2,6,3,4855,0,189,12,16,725,7
Puck,0,1,10,2,15056,0,100,7,15,0,7
Kunkka,1,6,1,20,11076,0,80,5,19,384,7
Lion,1,3,2,10,6683,0,36,1,17,839,7
Underlord,1,4,2,23,7360,2807,50,2,18,2058,7
Shadow Fiend,1,8,3,15,13727,0,137,6,20,4210,7
Weaver,1,18,0,14,29749,0,250,8,25,8427,7
Monkey King,1,16,13,8,32192,0,164,3,25,3534,7
Sven,1,2,13,19,14827,800,79,0,22,2768,7
Sniper,1,17,12,16,49124,0,154,4,25,1646,7
Luna,1,7,13,14,20856,0,128,0,22,4197,7
Phantom Assassin,1,16,9,12,32338,1785,117,0,25,1105,7
Magnus,0,7,12,18,15685,0,161,3,25,79,7
Slardar,0,4,12,14,7607,0,31,0,16,71,7
Tiny,0,20,12,17,32444,0,102,0,25,1894,7
Wraith King,0,19,11,19,32436,3194,156,1,25,3014,7
Drow Ranger,0,7,12,17,13244,0,114,9,22,2479,7
Monkey King,0,5,10,13,11392,0,65,6,22,178,7
Luna,0,9,12,6,16627,0,126,1,20,149,7
Bloodseeker,0,12,10,8,20036,1149,185,0,23,497,7
Warlock,0,6,11,11,29811,225,91,0,20,1395,7
Slardar,0,1,19,12,5891,0,54,0,14,58,7
Riki,1,9,4,29,16904,4832,39,1,23,4590,7
Phantom Assassin,1,18,11,16,30777,270,150,0,25,4018,7
Pudge,1,10,7,20,25553,0,88,3,24,916,7
Crystal Maiden,1,12,3,30,19188,0,68,0,25,1727,7
Spirit Breaker,1,11,9,24,18303,794,122,0,24,617,7
Treant Protector,1,1,5,14,3819,907,8,2,19,486,7
Brewmaster,1,7,5,18,18528,1879,76,1,21,359,7
Viper,1,9,3,11,23436,0,271,16,25,6452,7
Anti-Mage,1,9,5,2,14747,0,324,5,25,5667,7
Legion Commander,1,12,5,8,22912,0,127,0,23,5150,7
Sven,0,10,7,11,25047,0,225,12,24,1486,7
Gyrocopter,0,3,11,9,13530,0,130,22,19,353,7
Ogre Magi,0,1,9,19,14579,1823,37,3,20,53,7
Invoker,0,6,6,12,18965,0,126,13,24,387,7
Silencer,0,3,7,14,9234,0,29,1,20,155,7
Meepo,0,8,10,7,11856,951,258,1,25,873,7
Slark,0,0,16,3,1634,0,96,3,21,0,7
Weaver,0,26,9,9,55553,0,274,2,25,3696,7
Earthshaker,0,2,19,12,12583,0,148,0,21,170,7
Monkey King,0,18,15,11,48586,0,166,1,25,1204,7
Timbersaw,1,7,12,19,35743,21,330,3,25,1242,7
Sniper,1,11,7,18,28471,0,315,3,25,3609,7
Phantom Assassin,1,9,14,12,25542,874,346,0,25,4987,7
Venomancer,1,9,14,23,25115,2604,146,0,25,2791,7
Riki,1,31,7,19,71419,0,157,0,25,2420,7
Naga Siren,0,0,6,4,9956,0,230,1,20,3232,7
Witch Doctor,0,3,7,6,16420,2214,39,4,20,0,7
Lich,0,3,13,3,18689,0,67,1,14,0,7
Morphling,0,7,4,5,26389,0,206,3,24,2041,7
Drow Ranger,0,1,10,5,5325,0,77,0,14,0,7
Omniknight,1,3,4,13,5951,8211,33,1,20,1440,7
Pudge,1,3,6,17,18086,0,50,0,20,522,7
Mirana,1,6,1,14,14174,0,240,2,23,7046,7
Juggernaut,1,10,1,5,16709,734,239,1,24,5063,7
Legion Commander,1,16,4,8,25312,0,217,3,24,6940,7
Drow Ranger,1,3,7,9,8091,0,94,4,20,3890,7
Legion Commander,1,12,1,8,30115,0,243,1,25,7193,7
Sand King,1,12,7,8,23721,0,128,1,24,663,7
Ursa,1,7,6,5,8019,0,33,0,19,1186,7
Templar Assassin,1,0,0,0,295,0,0,0,1,0,7
Wraith King,0,2,5,9,6235,3540,47,0,15,154,7
Luna,0,8,8,6,19189,0,193,4,22,49,7
Alchemist,0,1,6,2,5627,0,157,0,20,704,7
Naga Siren,0,8,12,10,19915,0,94,5,20,771,7
Riki,0,1,3,6,982,1121,49,0,19,200,7
Slardar,1,8,6,16,12360,0,132,2,25,2380,7
Spectre,1,13,8,17,27371,0,153,9,25,2041,7
Pudge,1,6,11,15,14830,0,52,3,23,203,7
Storm Spirit,1,10,8,18,27588,1457,206,4,25,3060,7
Legion Commander,1,10,6,6,13804,0,304,0,25,7572,7
Medusa,0,3,9,20,23157,0,382,4,25,2022,7
Monkey King,0,5,9,11,11156,0,112,14,17,511,7
Lich,0,14,9,13,30706,0,104,10,24,1827,7
Nyx Assassin,0,2,11,24,22118,0,103,4,22,18,7
Witch Doctor,0,11,9,18,20309,1505,62,4,25,1037,7
Phantom Lancer,1,11,3,23,29443,1481,418,1,25,9653,7
Earthshaker,1,5,10,24,21834,0,185,5,25,1527,7
Razor,1,16,11,27,38975,0,271,8,25,5656,7
Axe,1,21,5,14,35334,0,248,1,25,1615,7
Ogre Magi,1,7,17,26,21094,7700,67,0,24,681,7
Clinkz,0,6,14,14,40491,0,230,0,25,2736,7
Mirana,0,19,6,19,61433,0,490,6,25,2891,7
Shadow Demon,0,3,19,30,24174,100,134,0,25,362,7
Bristleback,0,12,9,19,35017,0,215,11,25,602,7
Venomancer,0,6,13,25,54634,0,223,4,25,3249,7
Luna,0,8,12,13,20385,0,140,1,23,256,7
Treant Protector,0,1,16,12,5745,2669,40,0,14,115,7
Outworld Devourer,0,2,12,8,9542,0,151,2,18,184,7
Invoker,0,14,10,4,20318,0,141,10,24,1032,7
Slardar,0,7,15,10,10747,0,53,0,18,0,7
Crystal Maiden,1,11,6,27,16653,0,35,0,22,649,7
Mirana,1,5,7,25,17068,0,73,2,22,556,7
Monkey King,1,19,7,17,33896,0,99,8,25,4632,7
Phantom Assassin,1,13,7,10,33245,0,173,1,25,3507,7
