matchid,radiwin,time,fbtime,radi_totalkill,dire_totalkill,radi_totalassist,dire_totalassist,radi_denies,dire_denies,radi_networth,dire_networth,radi_damage,dire_damage,radi_level,dire_level,radi_heal,dire_heal,mode,version
2863366403,1,2733,401,44,35,89,65,31,23,114190,82480,102968,116324,121,118,6478,948,22,7
2851773917,0,1306,67,9,62,5,55,3,2,9220,60080,17456,57726,47,78,194,566,4,7
2851773916,0,2403,98,35,55,45,83,10,19,56270,75080,79453,106023,101,113,0,933,4,7
48259,1,1030,5,6,4,2,3,79,7,33475,23735,15858,10479,52,35,628,0,22,6.88
2851773914,0,3423,132,67,74,108,99,10,17,96855,104555,184927,187679,125,125,0,14383,22,7
2851773913,1,2095,1,43,14,83,29,47,31,66250,49545,67663,40723,98,78,2038,2487,22,7
2851773912,0,4248,58,68,68,122,125,22,44,121700,139175,203533,197571,125,125,0,5691,1,7
2851773910,1,3524,197,57,44,89,64,25,18,101870,106010,133232,163732,117,123,0,938,1,7
11542,1,2347,65,51,19,64,27,9,12,79325,54580,67588,43269,98,79,475,356,22,6.88
11543,1,2879,138,47,34,68,46,11,24,104370,83045,68298,63224,109,96,3832,572,22,6.88
11540,0,1790,0,12,41,17,40,6,13,34315,65890,26192,51636,62,74,102,1418,22,6.88
11541,1,1836,73,32,17,60,27,30,20,62720,42365,51092,28841,78,66,294,975,22,6.88
11546,0,2544,41,15,40,25,66,33,49,48645,74750,36690,61799,76,94,0,597,2,6.88
11547,1,2185,186,43,29,73,38,24,26,71050,54065,66368,47158,84,78,2157,0,22,6.88
11544,1,3325,23,50,45,89,72,21,48,91320,87475,80597,76811,113,108,1094,599,22,6.88
11545,1,2603,97,38,47,75,65,15,41,87725,74220,79181,70558,104,97,1320,495,22,6.88
2859193892,1,2681,50,48,30,88,63,70,23,80070,63310,109741,108782,117,102,7538,1158,3,7
2859193893,0,2297,175,28,33,70,61,12,19,62540,74375,87797,85730,101,108,1090,5405,1,7
2859193890,0,2897,120,28,51,46,82,29,20,65090,110595,96902,90936,108,121,0,6696,4,7
2859193891,1,2142,75,64,34,112,72,4,0,76770,52905,113732,75571,103,91,3370,2110,4,7
2859193897,1,2627,406,50,20,85,38,20,21,89690,67845,104992,73759,122,103,3538,0,1,7
2859193894,0,1473,105,13,14,12,21,4,18,24930,51530,33726,30606,48,76,0,6035,1,7
2859193895,0,3515,48,45,66,84,143,32,23,115100,120510,173164,175329,125,125,5044,21344,22,7
2863344035,0,2137,119,13,17,11,21,4,6,39360,68855,40489,43245,62,76,0,6434,4,7
2863344034,0,3138,54,47,49,96,108,26,60,91295,109175,118916,132713,122,122,2438,6306,3,7
2863344037,0,2816,67,28,36,48,51,13,37,71335,106525,69312,106153,103,115,2684,0,1,7
