match_id,account_id,hero_id,player_slot,gold,gold_spent,gold_per_min,xp_per_min,kills,deaths,assists,denies,last_hits,stuns,hero_damage,hero_healing,tower_damage,item_0,item_1,item_2,item_3,item_4,item_5,level,leaver_status,xp_hero,xp_creep,xp_roshan,xp_other,gold_other,gold_death,gold_buyback,gold_abandon,gold_sell,gold_destroying_structure,gold_killing_heros,gold_killing_creeps,gold_killing_roshan,gold_killing_couriers,unit_order_none,unit_order_move_to_position,unit_order_move_to_target,unit_order_attack_move,unit_order_attack_target,unit_order_cast_position,unit_order_cast_target,unit_order_cast_target_tree,unit_order_cast_no_target,unit_order_cast_toggle,unit_order_hold_position,unit_order_train_ability,unit_order_drop_item,unit_order_give_item,unit_order_pickup_item,unit_order_pickup_rune,unit_order_purchase_item,unit_order_sell_item,unit_order_disassemble_item,unit_order_move_item,unit_order_cast_toggle_auto,unit_order_stop,unit_order_taunt,unit_order_buyback,unit_order_glyph,unit_order_eject_item_from_stash,unit_order_cast_rune,unit_order_ping_ability,unit_order_move_to_direction,unit_order_patrol,unit_order_vector_target_position,unit_order_radar,unit_order_set_item_combine_lock,unit_order_continue
0,0,86,0,3261,10960,347,362,9,3,18,1,30,76.7356,8690,218,143,180,37,73,56,108,0,16,0,8840,5440,,83,50,-957,,,212,3120,5145,1087,400,,,4070,1,25,416,51,144,3,71,,188,16,,,,2,35,2,,11,,,,,,,,6,,,,,,
0,1,51,1,2954,17760,494,659,13,3,18,9,109,87.4164,23747,0,423,46,63,119,102,24,108,22,0,14331,8440,2683,671,395,-1137,,,1650,3299,6676,4317,937,,,5894,214,165,1031,98,39,4,439,,346,22,,,12,52,30,4,,21,,,,,,,,14,,,,,,
0,0,83,2,110,12195,350,385,0,4,15,1,58,None,4217,1595,399,48,60,59,108,65,0,17,0,6692,8112,,453,259,-1436,-1015,,,3142,2418,3697,400,,,7053,3,132,645,36,160,20,373,,643,17,5,,7,8,28,,1,18,,,,1,,,,17,,,,,,
0,2,11,3,1179,22505,599,605,8,4,19,6,271,None,14832,2714,6055,63,147,154,164,79,160,21,0,8583,14230,894,293,100,-2156,,,938,4714,4104,10432,400,,,4712,133,163,690,9,15,7,406,,150,21,,,1,9,45,7,,14,,,,,1,,,13,,,,,,
0,3,67,4,3307,23825,613,762,20,3,17,13,245,None,33740,243,1833,114,92,147,0,137,63,24,0,15814,14325,,62,,-1437,-1056,,4194,3217,7467,9220,400,,,3853,7,7,1173,31,84,8,198,,111,23,1,,,2,44,6,,13,,,,1,3,,,23,,,,,,
0,4,106,128,476,12285,397,524,5,6,8,5,162,None,10725,0,112,145,73,149,48,212,0,19,0,8502,12259,,1,,-2394,-2240,,200,320,5281,6193,,,,6593,166,76,832,196,3,5,96,2,161,19,,,2,,36,3,,3,,,,2,,,,2,,,,,,
0,0,102,129,317,10355,303,369,4,13,5,2,107,None,15028,764,0,50,11,102,36,185,81,16,0,5201,9417,,1,,-3287,,,262,320,3396,4356,,,,3325,63,100,609,13,173,14,168,,118,16,,,1,1,43,3,,13,,,,,4,1,,1,,,,,,
0,5,46,130,2390,13395,452,517,4,8,6,31,208,None,10230,0,2438,41,63,36,147,168,21,19,0,6853,13396,,244,107,-3682,,,242,695,4350,8797,,,,13557,11,214,3386,122,,3,506,,491,18,2,3,18,18,30,1,,19,,,,,,,,4,110,,,,,
0,0,7,131,475,5035,189,223,1,14,8,0,27,67.0277,4774,0,0,36,0,0,46,0,180,12,0,4798,4038,,27,,-3286,-39,,,320,2127,1089,,,,2217,55,5,152,68,18,9,71,,97,12,1,2,1,1,38,,,14,,21,,1,1,,,4,,,,,,
0,6,73,132,60,17550,496,456,1,11,6,0,147,60.9748,6398,292,0,63,9,116,65,229,79,18,0,6659,10471,,933,5679,-4039,-1063,,637,320,2685,7011,,,,3801,2,105,516,64,102,19,124,,135,18,2,,2,26,33,4,,22,,,,1,1,,,14,,,,,,
